 2    -2.441
 4    -0.595
 6    -3.152
 8    -1.035
 10     0.759
 12    -1.428
 14     0.942
 16    -1.953
 18     1.270
 20     1.136
 22     0.885
 24    -1.465
 26     1.855
 28    -0.781
 30     2.246
 32    -0.568
 34     3.409
 36    -0.502
 38     4.622
 40     1.137
 42     3.500
 44     1.835
 46     5.274
 48     3.203
 50     5.359
 52     3.028
 54     5.027
 56     4.743
 58     0.099
 60     0.071
 62    -9.582
 64   -12.891
 66    -0.684
 68     0.000
 70    -2.252
 72    -2.711
 74    -3.245
 76    -3.732
 78     1.380
 80     1.119
 82     1.197
 84     0.824
 86   -12.050
 88    -3.082
 90     0.320
 92     0.533
 94    -2.527
 96     0.082
 98     0.490
 100    -0.070
 102     0.295
 104    -0.406
 106     0.170
 108     0.817
 110     2.017
 112     1.904
 114    -0.977
 116     1.433
 118     0.926
 120     3.027
