 2    -0.684
 4     0.468
 6     0.977
 8     0.835
 10     0.311
 12     0.356
 14     1.672
 16     6.250
 18     0.000
 20     0.000
 22     0.324
 24     1.172
 26    -1.277
 28    -2.832
 30     0.000
 32     0.213
 34    -0.131
 36    -0.215
 38     1.006
 40     0.038
 42     0.219
 44     0.340
 46    -0.298
 48     0.878
 50     0.170
 52    -1.119
 54     0.548
 56     0.684
 58     0.446
 60     0.390
 62    -0.195
 64     0.684
 66     0.195
 68     0.113
 70     0.872
 72     0.726
 74     0.657
 76     0.571
 78     0.690
 80     0.362
 82     0.232
 84     0.412
 86    -1.785
 88    -1.668
 90     0.096
 92     0.355
 94     0.000
 96     0.288
 98     0.491
 100     0.492
 102     0.088
 104     0.163
 106     1.022
 108     0.859
 110     0.887
 112    -0.032
 114    -2.539
 116     0.755
 118     0.386
 120     0.586
